,ID,Year_Of_Birth,Income,Registration_Time,Recency,Liquor,Vegetables,Pork,Seafood,Candy,Jewellery,Num_Deals_Purchases,Num_Web_Purchases,Num_Catalog_Purchases,Num_Store_Purchases,Num_Web_Visits_Month,Promo_30,Promo_40,Promo_50,Promo_10,Promo_20,Complain,Gender,Total_Purchase,Payment_Method,Phone,Total_Expense,Age,Marital_Status,Children,Family_Size,Is_Parent,Academic_Level,Customer_For,Promo_Response
0,6815,1982,30396.0,2023-04-30,22,16.0,2.0,6.0,0.0,1.0,12.0,2,1,1,2,7,1,0,0,0,0,0,Male,6,Cash,(+84) 167329039.0,37.0,42,Relationship,1,3,1,Post_Graduate,5184000000000000,1
1,6053,1982,68682.0,2022-10-06,56,920.0,2.0,505.0,99.0,30.0,45.0,1,4,9,10,2,0,0,0,0,0,0,Male,24,Cash,(+84) 908534649.0,1601.0,42,Relationship,0,2,0,Post_Graduate,22982400000000000,0
2,1985,2002,63516.0,2022-07-06,30,142.0,13.0,114.0,15.0,14.0,5.0,4,4,1,7,5,0,0,0,0,0,0,Female,16,Online,(+84) 041679459.0,303.0,22,Relationship,2,4,1,Post_Graduate,30931200000000000,0
3,4233,1994,72679.0,2022-09-18,65,620.0,56.0,260.0,127.0,54.0,54.0,1,4,7,5,1,0,0,0,0,0,0,Male,17,Card,(+84) 770157293.0,1171.0,30,Single,1,2,1,Graduate,24537600000000000,0
4,7567,1987,66334.0,2022-04-03,82,910.0,13.0,218.0,0.0,0.0,23.0,2,9,3,5,5,0,0,0,0,0,0,Female,19,Online,(+84) 784169668.0,1164.0,37,Relationship,1,3,1,Post_Graduate,39052800000000000,0
5,3162,1983,17459.0,2022-09-19,12,7.0,6.0,16.0,3.0,10.0,30.0,3,3,1,2,7,0,0,0,0,0,0,Female,9,Unknown,(+84) 065406219.0,72.0,41,Relationship,1,3,1,Post_Graduate,24451200000000000,0
6,6691,1985,44635.0,2022-10-11,25,57.0,2.0,9.0,0.0,0.0,3.0,2,2,0,3,7,0,0,0,0,0,0,Male,7,Unknown,(+84) 649261527.0,71.0,39,Single,2,3,1,Post_Graduate,22550400000000000,0
7,4929,1980,80124.0,2023-06-26,47,484.0,86.0,398.0,205.0,84.0,241.0,1,3,7,8,1,1,0,0,0,0,0,Male,19,Unknown,(+84) 613940949.0,1498.0,44,Relationship,0,2,0,Graduate,259200000000000,1
8,3376,1980,68805.0,2022-09-17,73,183.0,4.0,49.0,17.0,13.0,20.0,1,3,1,7,2,0,0,0,0,0,0,Female,12,Unknown,(+84) 562153633.0,286.0,44,Single,1,2,1,Post_Graduate,24624000000000000,0
9,8060,1985,59060.0,2023-01-11,77,36.0,42.0,111.0,36.0,40.0,12.0,3,3,1,7,4,0,0,0,0,0,0,Other,14,Unknown,(+84) 709924673.0,277.0,39,Relationship,1,3,1,Post_Graduate,14601600000000000,0
